"","L","R"
"3585","fgf20b","fgfr1bl"
"3586","fgf20a","fgfr1a"
"3587","fgf20a","fgfr1b"
"3588","fgf20a","fgfr1bl"
"3589","fgf20b","fgfr2"
"3590","fgf20a","fgfr2"
"3591","fgf20b","fgfr3"
"3592","fgf20a","fgfr3"
"3593","fgf22","fgfr1a"
"3594","fgf22","fgfr1b"
"3595","fgf22","fgfr1bl"
"3596","fgf22","fgfrl1a"
"3597","fgf23","fgfr3"
"3598","fgf23","kl"
"3599","fgf3","fgfr3"
"3600","fgf3","fgfrl1a"
"3601","fgf4","fgfrl1a"
"3602","fgf4","nrp1a"
"3603","fgf6b","fgfr3"
"3604","fgf6a","fgfr3"
"3605","fgf7","fgfr1a"
"3606","fgf7","fgfr1b"
"3607","fgf7","fgfr1bl"
"3608","fgf7","fgfr3"
"3609","fgf7","nrp1a"
"3610","fgf8b","fgfrl1a"
"3611","fgf8a","fgfrl1a"
"3612","fgg","itga2b"
"3613","fgg","itga5"
"3614","fgg","itgav"
"3615","fgg","itgb1a"
"3616","fgg","itgb1b.2"
"3617","fgg","itgb1b"
"3618","fgg","itgb1b.1"
"3619","fgg","itgb2"
"3620","fn1b","itga9"
"3621","fn1a","itga9"
"3622","fn1b","mag"
"3623","fn1a","mag"
"3624","fn1b","nt5e"
"3625","fn1a","nt5e"
"3626","fn1b","tshr"
"3627","fn1a","tshr"
"3628","fndc5b","itgav"
"3629","fndc5a","itgav"
"3630","fndc5b","itgb5"
"3631","fndc5a","itgb5"
"3632","fstl1a","dip2a"
"3633","fstl1b","dip2a"
"3634","galn","GPR151"
"3635","gdf2","acvr2aa"
"3636","gdf2","acvr2ab"
"3637","gdf2","acvr2bb"
"3638","gdf2","acvr2ba"
"3639","gdf2","bmpr2b"
"3640","gdf2","bmpr2a"
"3641","gdf2","CU927890.1"
"3642","gdf5","acvr2bb"
"3643","gdf5","acvr2ba"
"3644","gdf9","acvr2aa"
"3645","gdf9","acvr2ab"
"3646","gdf9","bmpr1aa"
"3647","gdf9","bmpr1ab"
"3648","gdf9","bmpr1ba"
"3649","gdf9","bmpr1bb"
"3652","gip","dpp4"
"3653","gip","zgc:136971"
"3654","glg1b","selp"
"3655","glg1a","selp"
"3656","gnai2b","adcy1a"
"3657","gnai2b","adcy1b"
"3658","gnai2a","adcy1a"
"3659","gnai2a","adcy1b"
"3660","gnai2b","adora1a"
"3661","gnai2b","adora1b"
"3662","gnai2a","adora1a"
"3663","gnai2a","adora1b"
"3664","gnai2b","adra2a"
"3665","gnai2a","adra2a"
"3666","gnai2b","adra2b"
"3667","gnai2a","adra2b"
"3668","gnai2b","agtr2"
"3669","gnai2a","agtr2"
"3670","gnai2b","CABZ01041494.1"
"3671","gnai2a","CABZ01041494.1"
"3672","gnai2b","cav1"
"3673","gnai2a","cav1"
"3674","gnai2b","ccr2"
"3675","gnai2b","ccr11.1"
"3677","gnai2a","ccr2"
"3678","gnai2a","ccr11.1"
"3680","gnai2b","cnr1"
"3681","gnai2a","cnr1"
"3682","gnai2b","cxcr2"
"3683","gnai2a","cxcr2"
"3686","gnai2b","ednraa"
"3687","gnai2b","ednrab"
"3688","gnai2a","ednraa"
"3689","gnai2a","ednrab"
"3690","gnai2b","egfra"
"3691","gnai2b","LO018309.1"
"3692","gnai2a","egfra"
"3693","gnai2a","LO018309.1"
"3694","gnai2b","F2R"
"3695","gnai2b","f2r"
"3701","gnai2a","F2R"
"3702","gnai2a","f2r"
"3708","gnai2b","CU571081.1"
"3709","gnai2a","CU571081.1"
"3710","gnai2b","igf1ra"
"3711","gnai2b","igf1rb"
"3712","gnai2a","igf1ra"
"3713","gnai2a","igf1rb"
"3714","gnai2b","lhcgr"
"3715","gnai2a","lhcgr"
"3716","gnai2b","lpar3"
"3717","gnai2a","lpar3"
"3718","gnai2b","mtnr1aa"
"3719","gnai2b","mtnr1ab"
"3720","gnai2a","mtnr1aa"
"3721","gnai2a","mtnr1ab"
"3722","gnai2b","oprd1a"
"3723","gnai2b","oprd1b"
"3724","gnai2a","oprd1a"
"3725","gnai2a","oprd1b"
"3726","gnai2b","oprm1"
"3727","gnai2a","oprm1"
"3728","gnai2b","p2ry12"
"3729","gnai2a","p2ry12"
"3730","gnai2b","tbxa2r"
"3731","gnai2a","tbxa2r"
"3732","gnai2b","tshr"
"3733","gnai2a","tshr"
"3734","gnas","adrb2a"
"3735","gnas","adrb2b"
"3736","gnas","avpr2aa"
"3737","gnas","avpr2ab"
"3738","gnas","crhr1"
"3739","gnas","gipr"
"3740","gnas","lhcgr"
"3741","gnas","tshr"
"3742","gnas","vipr1b"
"3743","gpc3","cd81b"
"3744","gpc3","cd81a"
"3745","gpc3","igf1ra"
"3746","gpc3","igf1rb"
"3747","gphb5","tshr"
"3748","grem1a","kdr"
"3750","grem1b","kdr"
"3751","grnb","sort1b"
"3752","grnb","sort1a"
"3753","grnb","si:ch211-112c15.8"
"3754","grnb","cd40"
"3755","grnb","tnfrsf1b"
"3756","grnb","tnfrsf11a"
"3757","hbegfa","cd44a"
"3758","hbegfa","cd44b"
"3759","hbegfb","cd44a"
"3760","hbegfb","cd44b"
"3761","hbegfa","cd82b"
"3762","hbegfa","cd82a"
"3763","hbegfb","cd82b"
"3764","hbegfb","cd82a"
"3765","hbegfa","erbb2"
"3766","hbegfb","erbb2"
"3767","hcrt","npffr2b"
"3768","hcrt","NPFFR2"
"3769","hgfa","cd44a"
"3770","hgfa","cd44b"
"3771","hgfb","cd44a"
"3772","hgfb","cd44b"
"3773","hgfa","sdc2"
"3774","hgfb","sdc2"
"3775","hgfa","zmp:0000001114"
"3776","hgfb","zmp:0000001114"
"3777","hrasa","agtr1b"
"3778","hrasa","agtr1a"
