"","L","R"
"772","Tac2","Tacr1"
"773","Tac4","Tacr2"
"774","Tac4","Tacr3"
"775","Tac4","Tacr1"
"776","Tac1","Tacr2"
"777","Tac1","Tacr3"
"778","Tac1","Tacr1"
"779","Btla","Tnfrsf14"
"780","Tnfsf15","Tnfrsf25"
"781","Trh","Trhr"
"782","Nrg1","Erbb4"
"783","Nrg1","Erbb3"
"784","Nrg2","Erbb4"
"785","Nrg2","Erbb3"
"786","Nrg4","Erbb4"
"787","Nrg3","Erbb4"
"788","Btc","Egfr"
"789","Btc","Erbb4"
"790","Hbegf","Egfr"
"791","Hbegf","Erbb4"
"792","Ereg","Egfr"
"793","Ereg","Erbb4"
"794","Epgn","Egfr"
"795","Tgfa","Egfr"
"796","Areg","Egfr"
"797","Crh","Crhr2"
"798","Crh","Crhr1"
"799","Crh","Mc2r"
"800","Ucn2","Crhr2"
"801","Ucn2","Crhr1"
"802","Ucn","Crhr2"
"803","Ucn","Crhr1"
"804","Ucn3","Crhr2"
"805","Penk","Oprd1"
"806","Penk","Oprm1"
"807","Penk","Oprk1"
"808","Penk","Mrgprb8"
"809","Penk","Mrgprb5"
"810","Penk","Mrgprb2"
"811","Penk","Mrgpra3"
"812","Penk","Mrgpra5"
"813","Penk","Mrgpra7"
"814","Penk","Mrgprx1"
"815","Penk","Mrgprb3"
"816","Penk","Mrgprx2"
"817","Penk","Mrgprb4"
"818","Pdyn","Oprd1"
"819","Pdyn","Oprm1"
"820","Pdyn","Oprk1"
"821","Pomc","Mc2r"
"822","Pomc","Mc1r"
"823","Pomc","Mc4r"
"824","Pomc","Mc5r"
"825","Pomc","Mc3r"
"826","Pomc","Oprd1"
"827","Pomc","Oprm1"
"828","Pomc","Oprk1"
"829","a","Mc1r"
"830","a","Mc4r"
"831","a","Mc5r"
"832","a","Mc3r"
"833","Agrp","Mc4r"
"834","Agrp","Mc5r"
"835","Agrp","Mc3r"
"836","Uts2b","Uts2r"
"837","Uts2","Uts2r"
"838","Pdgfc","Kdr"
"839","Pdgfc","Flt4"
"840","Vegfc","Kdr"
"841","Vegfc","Flt4"
