"","L","R"
"1143","EFNA2","EPHA2"
"1144","EFNA2","EPHA3"
"1145","EFNA2","EPHA4"
"1146","EFNA2","EPHA5"
"1147","EFNA2","EPHA6"
"1148","EFNA2","EPHA7"
"1149","EFNA2","EPHA8"
"1150","EFNA3","EPHA1"
"1151","EFNA3","EPHA2"
"1152","EFNA3","EPHA3"
"1153","EFNA3","EPHA4"
"1154","EFNA3","EPHA5"
"1155","EFNA3","EPHA6"
"1156","EFNA3","EPHA7"
"1157","EFNA3","EPHA8"
"1158","EFNA3","EPHB1"
"1159","EFNA4","EPHA1"
"1160","EFNA4","EPHA2"
"1161","EFNA4","EPHA3"
"1162","EFNA4","EPHA4"
"1163","EFNA4","EPHA5"
"1164","EFNA4","EPHA6"
"1165","EFNA4","EPHA7"
"1166","EFNA4","EPHA8"
"1167","EFNA5","EPHA1"
"1168","EFNA5","EPHA2"
"1169","EFNA5","EPHA3"
"1170","EFNA5","EPHA4"
"1171","EFNA5","EPHA5"
"1172","EFNA5","EPHA6"
"1173","EFNA5","EPHA7"
"1174","EFNA5","EPHA8"
"1175","EFNA5","EPHB2"
"1176","EFNB1","EPHA4"
"1177","EFNB1","EPHB1"
"1178","EFNB1","EPHB2"
"1179","EFNB1","EPHB3"
"1180","EFNB1","EPHB4"
"1181","EFNB1","EPHB6"
"1182","EFNB2","EPHA4"
"1183","EFNB2","EPHB1"
"1184","EFNB2","EPHB2"
"1185","EFNB2","EPHB3"
"1186","EFNB2","EPHB4"
"1187","EFNB2","EPHB6"
"1188","EFNB3","EPHA4"
"1189","EFNB3","EPHB1"
"1190","EFNB3","EPHB2"
"1191","EFNB3","EPHB3"
"1192","EFNB3","EPHB4"
"1193","EFNB3","EPHB6"
"1199","F2","F2R"
"1200","F2","F2RL1"
"1201","F2","F2RL2"
"1202","F2","F2RL3"
"1203","F7","F3"
"1204","F8","LRP1"
"1205","F9","LRP1"
"1208","FGA","ITGAX"
"1209","FGA","ITGB2"
"1210","FGF10","FGFR1"
"1211","FGF10","FGFR2"
